Make,Number.of.Engines,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Year,Total Passengers,Ratio of Uninjured
Socata,110.0,106.0,19.0,40.0,126.0,250973,291.0,0.4329896907216495
Socata-Groupe Aerospatiale,1.0,3.0,0.0,0.0,0.0,2017,3.0,0.0
Softex Invest Llc,2.0,0.0,0.0,2.0,0.0,2017,2.0,0.0
Soko,1.0,0.0,0.0,1.0,0.0,2018,1.0,0.0
Solem,1.0,0.0,0.0,1.0,0.0,1986,1.0,0.0
Sollars,1.0,0.0,1.0,0.0,0.0,1988,1.0,0.0
Solo Wings,4.0,3.0,2.0,0.0,0.0,8044,5.0,0.0
Somerton David J,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Sommerauer,1.0,0.0,0.0,0.0,1.0,1993,1.0,1.0
Sonerai,4.0,1.0,0.0,0.0,4.0,7960,5.0,0.8
Soneral,1.0,0.0,1.0,0.0,0.0,2021,1.0,0.0
Soneria,1.0,0.0,0.0,0.0,1.0,1984,1.0,1.0
Sonex,3.0,2.0,2.0,0.0,3.0,12103,7.0,0.42857142857142855
Sonex / John D. Mccarter,1.0,0.0,0.0,1.0,0.0,2011,1.0,0.0
Sonex Aircraft,3.0,4.0,0.0,1.0,0.0,6066,5.0,0.0
Sonex Limited,1.0,0.0,0.0,2.0,0.0,2016,2.0,0.0
Sons Mustang,1.0,2.0,0.0,0.0,0.0,1982,2.0,0.0
Sontonastaso,1.0,0.0,0.0,0.0,1.0,2015,1.0,1.0
Sopwith,1.0,1.0,0.0,0.0,0.0,1983,1.0,0.0
Sorensen,1.0,1.0,0.0,0.0,1.0,4018,2.0,0.5
Sorensen Danny,1.0,0.0,0.0,0.0,1.0,2016,1.0,1.0
Sorensen Danny S,1.0,0.0,0.0,0.0,1.0,2018,1.0,1.0
Sorenson,1.0,2.0,0.0,0.0,0.0,2009,2.0,0.0
Sorrel,1.0,0.0,0.0,3.0,0.0,4017,3.0,0.0
Sorrell,4.0,1.0,1.0,0.0,3.0,8000,5.0,0.6
Sorrell Aircraft,1.0,0.0,0.0,2.0,0.0,2008,2.0,0.0
Sours/Midget Mustang,1.0,0.0,1.0,0.0,0.0,1989,1.0,0.0
South Mississippi Light Aircra,1.0,0.0,1.0,1.0,0.0,1999,2.0,0.0
Southerland,1.0,1.0,0.0,0.0,0.0,2010,1.0,0.0
Southern,1.0,0.0,1.0,0.0,0.0,1984,1.0,0.0
Southern Aero,1.0,1.0,0.0,0.0,0.0,1997,1.0,0.0
Southern Airmotive Corp Sac,1.0,0.0,0.0,0.0,1.0,1982,1.0,1.0
